"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"Hele landet",39.9,40.0,40.1
"7001 Vor Frue (København Kommune)",37.3,37.4,37.7
"7002 Helligånds (København Kommune)",40.1,39.5,39.2
"7003 Trinitatis (København Kommune)",37.7,37.6,37.3
"7004 Sankt Andreas (København Kommune)",35.7,36.0,36.1
"7007 Sankt Johannes (København Kommune)",37.2,37.1,37.1
"7008 Simeons (København Kommune)",35.9,35.7,35.6
"7011 Bethlehem (København Kommune)",37.1,37.1,37.3
"7015 Maria (København Kommune)",33.4,33.4,33.6
"7016 Elias (København Kommune)",34.9,34.7,34.5
"7017 Apostelkirkens (København Kommune)",32.6,32.7,32.9
"7018 Gethsemane (København Kommune)",32.8,32.9,32.9
"7019 Sankt Matthæus (København Kommune)",32.8,32.8,32.9
"7020 Absalons (København Kommune)",33.9,33.7,33.6
"7021 Kristkirkens (København Kommune)",33.3,33.4,33.4
"7022 Enghave (København Kommune)",38.0,38.1,38.1
"7024 Valby (København Kommune)",38.6,38.5,37.6
"7025 Johannes Døbers (København Kommune)",35.8,35.2,34.6
"7026 Timotheus (København Kommune)",35.0,35.2,34.9
"7027 Vigerslev (København Kommune)",39.3,39.4,39.0
"7028 Aalholm (København Kommune)",38.6,38.6,38.3
"7030 Margrethe (København Kommune)",41.4,40.9,40.5
"7036 Holmens (København Kommune)",39.8,39.6,39.5
"7037 Garnisons (København Kommune)",42.3,42.4,41.7
"7038 Frederiks (København Kommune)",43.4,43.6,43.0
"7039 Sankt Pauls (København Kommune)",37.6,38.1,38.2
"7040 Østervold (København Kommune)",37.5,37.4,37.4
"7041 Kastels (København Kommune)",40.0,39.7,39.1
"7042 Frihavns (København Kommune)",35.5,35.4,35.2
"7043 Rosenvænget (København Kommune)",35.6,35.4,35.4
"7044 Sankt Jakobs (København Kommune)",39.0,38.7,38.3
"7045 Davids (København Kommune)",35.1,35.3,35.2
"7046 Hans Egedes (København Kommune)",36.5,36.3,36.2
"7050 Anna (København Kommune)",34.2,33.8,33.8
"7051 Sankt Stefans (København Kommune)",34.5,34.3,34.3
"7052 Samuels (København Kommune)",33.1,32.6,32.8
"7053 Kingo-Samuel (København Kommune)",31.4,31.6,31.6
"7054 Aldersro (København Kommune)",36.2,36.2,36.0
"7055 Kildevælds (København Kommune)",37.4,37.3,37.0
"7056 Sions (København Kommune)",41.0,41.0,40.8
"7057 Hyltebjerg (København Kommune)",40.2,39.9,39.8
"7058 Vanløse (København Kommune)",37.6,37.6,37.4
"7059 Advents (København Kommune)",39.5,39.1,39.0
"7060 Grøndals (København Kommune)",38.9,39.0,38.9
"7061 Ansgarkirkens (København Kommune)",36.5,36.0,35.7
"7062 Kapernaums (København Kommune)",32.4,31.9,31.5
"7063 Tagensbo (København Kommune)",37.2,35.8,35.3
"7064 Bispebjerg (København Kommune)",40.0,39.7,39.5
