"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"Hele landet",40.2,40.4,40.5,40.7
"7001 Vor Frue (København Kommune)",37.5,37.5,37.2,0.0
"7002 Helligånds (København Kommune)",39.1,38.8,38.6,38.5
"7003 Trinitatis (København Kommune)",36.6,36.1,35.6,35.6
"7004 Sankt Andreas (København Kommune)",35.3,35.1,35.1,0.0
"7007 Sankt Johannes (København Kommune)",0.0,0.0,0.0,0.0
"7008 Simeons (København Kommune)",0.0,0.0,0.0,0.0
"7011 Bethlehem (København Kommune)",37.8,37.8,37.8,37.9
"7015 Maria (København Kommune)",33.6,33.7,33.6,33.9
"7016 Elias (København Kommune)",34.2,34.2,34.1,34.4
"7017 Apostelkirkens (København Kommune)",33.0,32.9,32.2,32.6
"7018 Gethsemane (København Kommune)",32.7,32.4,32.8,32.7
"7019 Sankt Matthæus (København Kommune)",32.7,32.6,32.5,32.4
"7020 Absalons (København Kommune)",33.5,32.9,33.0,33.1
"7021 Kristkirkens (København Kommune)",33.3,33.0,33.0,32.8
"7022 Enghave (København Kommune)",37.9,37.4,36.7,36.6
"7024 Valby (København Kommune)",37.2,37.0,36.7,36.6
"7025 Johannes Døbers (København Kommune)",34.6,34.2,34.1,34.4
"7026 Timotheus (København Kommune)",34.8,34.8,35.0,35.1
"7027 Vigerslev (København Kommune)",38.5,37.8,37.8,36.9
"7028 Aalholm (København Kommune)",38.0,38.0,37.8,37.7
"7030 Margrethe (København Kommune)",40.0,39.1,38.4,38.2
"7036 Holmens (København Kommune)",39.6,39.3,39.8,40.0
"7037 Garnisons (København Kommune)",41.1,40.4,40.3,39.8
"7038 Frederiks (København Kommune)",42.3,42.0,41.6,41.8
"7039 Sankt Pauls (København Kommune)",38.3,38.5,38.1,38.3
"7040 Østervold (København Kommune)",37.3,37.1,37.1,37.1
"7041 Kastels (København Kommune)",38.8,38.2,38.3,38.8
"7042 Frihavns (København Kommune)",0.0,0.0,0.0,0.0
"7043 Rosenvænget (København Kommune)",35.1,35.1,35.2,35.3
"7044 Sankt Jakobs (København Kommune)",37.5,37.4,37.3,37.4
"7045 Davids (København Kommune)",0.0,0.0,0.0,0.0
"7046 Hans Egedes (København Kommune)",35.8,35.7,35.6,35.6
"7050 Anna (København Kommune)",33.3,33.1,32.8,32.7
"7051 Sankt Stefans (København Kommune)",33.9,33.6,33.1,33.1
"7052 Samuels (København Kommune)",0.0,0.0,0.0,0.0
"7053 Kingo-Samuel (København Kommune)",31.8,31.8,31.8,31.8
"7054 Aldersro (København Kommune)",35.7,35.5,35.6,35.5
"7055 Kildevælds (København Kommune)",36.8,36.5,36.3,36.0
"7056 Sions (København Kommune)",40.6,40.4,40.2,40.0
"7057 Hyltebjerg (København Kommune)",39.1,38.8,38.6,38.3
