SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7002;950;Helligånds Sogn;København;501627;222543;155442;367445;727733;369344;187643;558562;2470;640;4060;491187;234267;174739;372766
7003;600;Trinitatis Sogn;København;464550;214039;150443;312436;691472;259826;168225;485923;1590;600;2790;491187;234267;174739;372766
7011;760;Bethlehem Sogn;København;422143;205323;159324;292363;494521;233085;175294;357650;1110;310;2180;491187;234267;174739;372766
7024;1720;Valby Sogn;København;416969;207114;166446;320595;465996;323196;174976;382120;4560;1360;7640;491187;234267;174739;372766
7026;2120;Timotheus Sogn;København;427459;213865;166000;330388;483515;230815;176663;379126;5120;1090;8320;491187;234267;174739;372766
7027;1920;Vigerslev Sogn;København;395559;198158;163970;276228;420400;205368;176216;319638;3300;790;6010;491187;234267;174739;372766
7028;1550;Aalholm Sogn;København;438798;225517;168507;334604;519592;238346;182375;402885;3660;780;5990;491187;234267;174739;372766
7036;600;Holmens Sogn;København;447901;222116;162844;328371;597310;314777;177492;473563;1360;250;2200;491187;234267;174739;372766
7037;680;Garnisons Sogn;København;506998;227388;172466;383847;888928;341982;361717;685363;1570;270;2510;491187;234267;174739;372766
7038;830;Frederiks Sogn;København;486264;238200;165319;347837;788160;361039;177285;573302;1530;390;2750;491187;234267;174739;372766
7039;1030;Sankt Pauls Sogn;København;456006;223203;178300;300344;699478;290721;211126;473662;1730;770;3520;491187;234267;174739;372766
7040;1220;Østervold Sogn;København;511130;230117;165309;413074;704658;335518;191743;558856;3240;540;5000;491187;234267;174739;372766
7041;1500;Kastels Sogn;København;523343;230430;159319;379254;751445;387351;179966;576797;3070;630;5210;491187;234267;174739;372766
